interface_name,status,ip_address,netmask,gateway,dns_primary,dns_secondary,mac_address,speed_mbps,duplex,errors_in,errors_out,last_seen,notes
eth0,UP,192.168.1.100,255.255.255.0,192.168.1.1,8.8.8.8,8.8.4.4,39:0C:8C:7D:72:47,1000,full,0,2,2026-05-20T09:55:00,OK - primary LAN interface
eth1,UP,192.168.1.100,255.255.255.0,192.168.1.1,8.8.8.8,8.8.4.4,34:2C:D8:10:0F:2F,1000,full,3,1,2026-05-20T09:57:00,ISSUE: Duplicate IP with eth0!
eth2,DOWN,0.0.0.0,0.0.0.0,0.0.0.0,,,6F:77:0D:65:D6:70,0,none,0,0,2026-05-18T10:00:00,Interface down - no cable?
wlan0,UP,10.0.0.55,255.255.255.0,10.0.0.1,192.168.1.253,8.8.8.8,E5:8E:03:51:D8:AE,300,auto,12,4,2026-05-20T09:58:00,ISSUE: Bad DNS 192.168.1.253 (known problem resolver)
wlan1,UP,172.16.0.10,255.255.255.0,0.0.0.0,1.1.1.1,1.0.0.1,8E:4F:6E:AC:34:2F,300,auto,45,8,2026-05-20T09:59:00,ISSUE: Missing gateway - cannot route traffic
bond0,UP,192.168.2.1,255.255.255.0,192.168.2.254,8.8.8.8,8.8.4.4,C2:31:B7:B0:87:16,2000,full,15420,230,2026-05-20T09:59:00,ISSUE: High error count on input
lo,UP,127.0.0.1,255.0.0.0,0.0.0.0,,,00:00:00:00:00:00,0,none,0,0,2026-05-20T09:59:30,Loopback - OK
eth3,UP,192.168.300.1,255.255.255.0,192.168.3.1,8.8.8.8,,EB:3F:C1:28:96:B9,100,half,22,5,2026-05-20T08:00:00,ISSUE: Invalid IP address format
veth0,DOWN,0.0.0.0,255.255.255.0,0.0.0.0,,8.8.4.4,94:28:77:33:C2:8E,0,none,2,7,2026-05-20T08:21:00,virtual interface
veth1,UP,172.17.1.163,255.255.255.0,172.17.1.1,1.1.1.1,8.8.4.4,24:57:7D:53:EC:C2,1000,half,13,8,2026-05-20T08:30:00,virtual interface
veth2,UP,172.17.2.254,255.255.255.0,172.17.2.1,,,1C:75:10:A1:CD:89,0,full,43,10,2026-05-20T08:12:00,virtual interface
veth3,UP,172.17.3.55,255.255.255.0,172.17.3.1,,,EA:49:87:47:7E:86,1000,full,41,15,2026-05-20T09:09:00,virtual interface
veth4,DOWN,0.0.0.0,255.255.255.0,0.0.0.0,1.1.1.1,,46:FC:2E:18:38:4E,0,none,25,11,2026-05-20T09:31:00,virtual interface
veth5,DOWN,0.0.0.0,255.255.255.0,0.0.0.0,,,C3:EF:80:05:3A:88,0,none,38,2,2026-05-20T09:10:00,virtual interface
veth6,DOWN,0.0.0.0,255.255.255.0,0.0.0.0,8.8.8.8,,01:86:5B:36:98:65,0,none,27,5,2026-05-20T09:01:00,virtual interface
veth7,UP,172.17.7.96,255.255.255.0,172.17.7.1,8.8.8.8,,09:39:B9:9D:7A:1D,0,full,38,10,2026-05-20T08:57:00,virtual interface
veth8,UP,172.17.8.225,255.255.255.0,172.17.8.1,,8.8.4.4,40:41:F3:54:87:D8,100,half,4,17,2026-05-20T08:21:00,virtual interface
veth9,UP,172.17.9.238,255.255.255.0,172.17.9.1,,,BF:E0:E7:3D:7E:73,0,full,45,9,2026-05-20T09:08:00,virtual interface
veth10,UP,172.17.10.87,255.255.255.0,172.17.10.1,8.8.8.8,,24:1E:75:22:10:A9,0,full,37,7,2026-05-20T09:59:00,virtual interface
br0,UP,192.168.50.1,255.255.255.0,192.168.50.254,8.8.8.8,,24:79:8E:F8:6D:43,1000,full,5,3,2026-05-20T09:50:00,bridge interface
tap0,DOWN,0.0.0.0,0.0.0.0,0.0.0.0,,,F2:7C:F2:D0:61:30,0,none,0,0,2026-05-17T10:00:00,tunnel tap - not in use
tun0,UP,10.8.0.1,255.255.0.0,10.8.0.1,1.1.1.1,,31:DC:B5:D8:D2:EF,100,full,0,0,2026-05-20T09:30:00,OpenVPN tunnel
dummy0,UP,192.168.99.1,255.255.255.0,0.0.0.0,,,1B:32:1F:CE:AD:37,0,none,0,0,2026-05-20T09:00:00,dummy interface for testing
ens3,UP,10.10.10.50,255.255.255.0,10.10.10.1,8.8.8.8,8.8.4.4,7F:62:61:E5:47:D8,1000,full,101,45,2026-05-20T09:56:00,secondary NIC
ens4,DOWN,0.0.0.0,0.0.0.0,0.0.0.0,,,5D:8E:EC:7F:26:E2,0,none,0,0,2026-05-17T10:00:00,unused port
docker0,UP,172.17.0.1,255.255.0.0,0.0.0.0,,,32:19:07:2F:79:55,10000,full,0,0,2026-05-20T09:45:00,docker bridge
ens5,UP,192.168.3.50,255.255.255.0,192.168.3.1,9.9.9.9,,D0:F8:F6:6D:CD:1E,1000,full,8,2,2026-05-20T09:53:00,tertiary NIC
ens6,UP,10.20.30.40,255.255.255.0,10.20.30.1,8.8.8.8,8.8.4.4,54:C2:01:C7:87:E8,1000,full,0,1,2026-05-20T09:54:00,OK
ens7,DOWN,0.0.0.0,0.0.0.0,0.0.0.0,,,92:D8:F9:4F:61:97,0,none,0,0,2026-05-15T10:00:00,unused
ens8,UP,10.30.0.1,255.255.255.0,10.30.0.254,1.1.1.1,1.0.0.1,6F:1D:1F:A0:1D:19,100,full,55,12,2026-05-20T09:40:00,backup uplink
