date,ticker,name,open,high,low,close,volume,turnover
2024-01-02,2330,台積電,619.38,621.26,615.34,616.85,222278,137111966
2024-01-03,2330,台積電,617.15,627.45,612.81,621.59,333114,207060635
2024-01-04,2330,台積電,618.19,620.21,606.60,617.84,106575,65846271
2024-01-05,2330,台積電,614.90,619.83,613.01,614.36,76061,46728926
2024-01-08,2330,台積電,616.54,616.70,604.80,606.45,257578,156208833
2024-01-09,2330,台積電,604.43,614.29,573.97,577.17,438911,253324322
2024-01-10,2330,台積電,575.18,591.68,571.90,584.54,175675,102689036
2024-01-11,2330,台積電,583.95,609.80,579.93,605.35,254802,154244101
2024-01-12,2330,台積電,608.01,613.13,599.94,610.60,68372,41748049
2024-01-15,2330,台積電,609.30,612.12,600.49,605.12,332500,201203798
2024-01-16,2330,台積電,602.96,603.17,600.14,602.00,48556,29230531
2024-01-17,2330,台積電,598.84,611.75,595.16,605.62,176554,106923772
2024-01-18,2330,台積電,609.42,611.36,606.06,608.48,96329,58614517
2024-01-19,2330,台積電,612.78,623.11,602.58,608.62,203080,123597641
2024-01-22,2330,台積電,617.40,626.89,583.24,583.60,111750,65217821
2024-01-23,2330,台積電,585.16,591.42,582.15,587.06,303298,178054551
2024-01-24,2330,台積電,586.96,600.63,586.34,600.10,99346,59617220
2024-01-25,2330,台積電,596.37,598.06,592.20,594.25,238903,141968421
2024-01-26,2330,台積電,594.47,597.32,580.18,594.56,109173,64910332
2024-01-29,2330,台積電,594.49,598.02,583.84,589.23,127734,75265340
2024-01-30,2330,台積電,593.74,600.77,587.16,599.57,38481,23071913
2024-01-31,2330,台積電,597.34,607.71,577.16,589.05,192158,113191553
2024-02-01,2330,台積電,591.45,599.19,585.26,589.42,62362,36757435
2024-02-02,2330,台積電,588.87,609.64,577.84,602.45,125572,75651114
2024-02-05,2330,台積電,609.14,610.80,593.52,600.17,122665,73619487
2024-02-06,2330,台積電,596.93,605.66,588.55,597.44,235042,140423141
2024-02-07,2330,台積電,599.05,606.33,596.96,602.93,137920,83156304
2024-02-08,2330,台積電,603.17,621.39,602.59,620.08,222521,137980384
2024-02-09,2330,台積電,621.16,628.15,618.20,627.47,308604,193638529
2024-02-12,2330,台積電,626.28,628.41,618.28,619.68,352104,218190163
2024-02-13,2330,台積電,621.18,622.29,600.41,608.68,362356,220559887
2024-02-14,2330,台積電,610.65,620.50,607.42,617.74,130411,80559897
2024-02-15,2330,台積電,617.32,628.52,608.85,611.50,71129,43495719
2024-02-16,2330,台積電,613.84,634.17,584.03,590.46,52130,30780893
2024-02-19,2330,台積電,589.03,617.81,583.65,614.55,173944,106896807
2024-02-20,2330,台積電,609.07,636.15,608.99,630.40,284717,179486509
2024-02-21,2330,台積電,635.63,637.41,618.04,626.31,255392,159953855
2024-02-22,2330,台積電,628.69,637.91,625.26,631.55,180003,113681768
2024-02-23,2330,台積電,633.17,647.82,630.46,645.73,304682,196742901
2024-02-26,2330,台積電,646.83,654.18,642.96,652.20,91931,59957200
2024-02-27,2330,台積電,650.53,668.95,649.92,666.50,381075,253987634
2024-02-28,2330,台積電,664.27,667.00,644.35,653.47,160418,104827669
2024-02-29,2330,台積電,655.36,668.68,649.01,652.66,64181,41888467
2024-03-01,2330,台積電,652.95,675.28,648.59,669.11,310512,207768147
2024-03-04,2330,台積電,677.63,681.96,662.17,666.21,104030,69305473
2024-03-05,2330,台積電,667.94,678.99,650.78,651.88,313277,204217483
2024-03-06,2330,台積電,652.20,681.24,640.11,673.69,119712,80648288
2024-03-07,2330,台積電,681.43,684.27,667.00,671.14,126830,85121223
2024-03-08,2330,台積電,668.71,669.90,661.64,669.28,55643,37240698
2024-03-11,2330,台積電,671.40,690.56,671.16,679.86,351943,239272352
2024-03-12,2330,台積電,679.58,689.23,671.90,687.01,88577,60853112
2024-03-13,2330,台積電,690.57,721.88,687.18,710.04,374721,266066896
2024-03-14,2330,台積電,708.70,718.66,685.63,696.79,58724,40918500
2024-03-15,2330,台積電,695.23,712.62,688.56,703.66,225863,158930299
