Township,County,Population,lat,lon
信義區,臺北市,215000,25.009,121.5414
大安區,臺北市,303000,25.021,121.5414
中山區,臺北市,228000,25.033,121.5414
內湖區,臺北市,287000,25.045,121.5414
士林區,臺北市,273000,25.057,121.5414
北投區,臺北市,251000,25.009,121.5534
松山區,臺北市,203000,25.021,121.5534
文山區,臺北市,272000,25.033,121.5534
南港區,臺北市,122000,25.045,121.5534
中正區,臺北市,159000,25.057,121.5534
萬華區,臺北市,184000,25.009,121.5654
大同區,臺北市,125000,25.021,121.5654
板橋區,新北市,551000,24.9929,121.4388
中和區,新北市,413000,25.0049,121.4388
新莊區,新北市,420000,25.0169,121.4388
三重區,新北市,384000,25.0289,121.4388
新店區,新北市,302000,25.0409,121.4388
土城區,新北市,237000,24.9929,121.4508
永和區,新北市,222000,25.0049,121.4508
汐止區,新北市,205000,25.0169,121.4508
樹林區,新北市,184000,25.0289,121.4508
蘆洲區,新北市,201000,25.0409,121.4508
淡水區,新北市,187000,24.9929,121.4628
林口區,新北市,120000,25.0049,121.4628
三峽區,新北市,115000,25.0169,121.4628
鶯歌區,新北市,90000,25.0289,121.4628
五股區,新北市,87000,25.0409,121.4628
泰山區,新北市,78000,24.9929,121.4748
八里區,新北市,42000,25.0049,121.4748
瑞芳區,新北市,38000,25.0169,121.4748
深坑區,新北市,24000,25.0289,121.4748
坪林區,新北市,6500,25.0409,121.4748
桃園區,桃園市,456000,24.9696,121.277
中壢區,桃園市,420000,24.9816,121.277
平鎮區,桃園市,230000,24.9936,121.277
八德區,桃園市,206000,25.0056,121.277
龜山區,桃園市,174000,25.0176,121.277
蘆竹區,桃園市,168000,24.9696,121.289
楊梅區,桃園市,165000,24.9816,121.289
大溪區,桃園市,94000,24.9936,121.289
大園區,桃園市,87000,25.0056,121.289
龍潭區,桃園市,125000,25.0176,121.289
觀音區,桃園市,65000,24.9696,121.301
新屋區,桃園市,47000,24.9816,121.301
復興區,桃園市,12000,24.9936,121.301
北屯區,臺中市,294000,24.1237,120.6496
西屯區,臺中市,237000,24.1357,120.6496
南屯區,臺中市,181000,24.1477,120.6496
北區,臺中市,148000,24.1597,120.6496
太平區,臺中市,194000,24.1717,120.6496
大里區,臺中市,214000,24.1237,120.6616
豐原區,臺中市,165000,24.1357,120.6616
沙鹿區,臺中市,98000,24.1477,120.6616
烏日區,臺中市,78000,24.1597,120.6616
潭子區,臺中市,110000,24.1717,120.6616
龍井區,臺中市,78000,24.1237,120.6736
大雅區,臺中市,96000,24.1357,120.6736
清水區,臺中市,87000,24.1477,120.6736
梧棲區,臺中市,59000,24.1597,120.6736
和平區,臺中市,10500,24.1717,120.6736
永康區,臺南市,235000,22.9759,120.203
安南區,臺南市,192000,22.9879,120.203
東區,臺南市,185000,22.9999,120.203
北區,臺南市,128000,23.0119,120.203
南區,臺南市,125000,23.0239,120.203
仁德區,臺南市,75000,22.9759,120.215
新營區,臺南市,77000,22.9879,120.215
善化區,臺南市,49000,22.9999,120.215
歸仁區,臺南市,67000,23.0119,120.215
佳里區,臺南市,58000,23.0239,120.215
麻豆區,臺南市,43000,22.9759,120.227
學甲區,臺南市,24000,22.9879,120.227
西港區,臺南市,24000,22.9999,120.227
龍崎區,臺南市,3800,23.0119,120.227
左鎮區,臺南市,4400,23.0239,120.227
鳳山區,高雄市,359000,22.6033,120.2774
三民區,高雄市,333000,22.6153,120.2774
左營區,高雄市,197000,22.6273,120.2774
前鎮區,高雄市,185000,22.6393,120.2774
苓雅區,高雄市,157000,22.6513,120.2774
楠梓區,高雄市,185000,22.6033,120.2894
鼓山區,高雄市,137000,22.6153,120.2894
仁武區,高雄市,97000,22.6273,120.2894
岡山區,高雄市,97000,22.6393,120.2894
大寮區,高雄市,110000,22.6513,120.2894
鳥松區,高雄市,44000,22.6033,120.3014
林園區,高雄市,69000,22.6153,120.3014
旗山區,高雄市,36000,22.6273,120.3014
美濃區,高雄市,38000,22.6393,120.3014
茂林區,高雄市,1900,22.6513,120.3014
那瑪夏區,高雄市,3200,22.6033,120.3134
彰化市,彰化縣,232000,24.0278,120.4921
員林市,彰化縣,123000,24.0398,120.4921
和美鎮,彰化縣,87000,24.0518,120.4921
鹿港鎮,彰化縣,85000,24.0638,120.4921
溪湖鎮,彰化縣,51000,24.0758,120.4921
田中鎮,彰化縣,40000,24.0278,120.5041
北斗鎮,彰化縣,32000,24.0398,120.5041
二林鎮,彰化縣,51000,24.0518,120.5041
線西鄉,彰化縣,18000,24.0638,120.5041
芬園鄉,彰化縣,22000,24.0758,120.5041
屏東市,屏東縣,195000,22.6451,120.464
潮州鎮,屏東縣,53000,22.6571,120.464
東港鎮,屏東縣,47000,22.6691,120.464
恆春鎮,屏東縣,30000,22.6811,120.464
內埔鄉,屏東縣,53000,22.6931,120.464
萬丹鄉,屏東縣,49000,22.6451,120.476
長治鄉,屏東縣,30000,22.6571,120.476
琉球鄉,屏東縣,11000,22.6691,120.476
斗六市,雲林縣,107000,23.6852,120.4073
虎尾鎮,雲林縣,70000,23.6972,120.4073
西螺鎮,雲林縣,44000,23.7092,120.4073
北港鎮,雲林縣,37000,23.7212,120.4073
土庫鎮,雲林縣,22000,23.7332,120.4073
古坑鄉,雲林縣,30000,23.6852,120.4193
莿桐鄉,雲林縣,22000,23.6972,120.4193
苗栗市,苗栗縣,87000,24.5362,120.7974
頭份市,苗栗縣,106000,24.5482,120.7974
竹南鎮,苗栗縣,87000,24.5602,120.7974
後龍鎮,苗栗縣,36000,24.5722,120.7974
通霄鎮,苗栗縣,31000,24.5842,120.7974
苑裡鎮,苗栗縣,43000,24.5362,120.8094
公館鄉,苗栗縣,32000,24.5482,120.8094
太保市,嘉義縣,38000,23.4278,120.2315
朴子市,嘉義縣,42000,23.4398,120.2315
民雄鄉,嘉義縣,70000,23.4518,120.2315
大林鎮,嘉義縣,30000,23.4638,120.2315
水上鄉,嘉義縣,47000,23.4758,120.2315
中埔鄉,嘉義縣,43000,23.4278,120.2435
阿里山鄉,嘉義縣,5300,23.4398,120.2435
南投市,南投縣,97000,23.9369,120.9479
草屯鎮,南投縣,96000,23.9489,120.9479
埔里鎮,南投縣,78000,23.9609,120.9479
竹山鎮,南投縣,51000,23.9729,120.9479
